,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
152,"Johor Bahru, Johor, Malaysia",8/4/2020,29.7,25.0,28.0,33.8,8.0,9.6,193.13,23.0,6.0,54.1,77.58,"Rain, Partially cloudy"
153,"Johor Bahru, Johor, Malaysia",08/15/2020,31.4,24.7,27.4,36.9,13.0,7.7,150.0,19.7,5.8,47.2,82.73,"Rain, Partially cloudy"
154,"Johor Bahru, Johor, Malaysia",08/16/2020,30.7,26.0,27.9,36.1,0.7,8.1,172.04,21.9,6.1,52.9,78.99,"Rain, Partially cloudy"
155,"Johor Bahru, Johor, Malaysia",08/21/2020,32.7,27.0,29.6,38.1,0.0,8.4,130.96,23.0,6.2,48.9,71.17,Partially cloudy
156,"Johor Bahru, Johor, Malaysia",08/24/2020,32.2,24.1,27.9,38.4,6.4,9.3,74.38,21.9,5.9,54.4,80.16,"Rain, Partially cloudy"
157,"Johor Bahru, Johor, Malaysia",9/6/2020,30.3,24.3,26.3,36.0,70.0,9.2,138.68,21.9,5.8,56.2,87.24,"Rain, Partially cloudy"
158,"Johor Bahru, Johor, Malaysia",09/14/2020,28.9,23.3,25.6,33.8,15.0,11.6,106.33,24.2,5.7,55.1,89.01,"Rain, Partially cloudy"
159,"Johor Bahru, Johor, Malaysia",09/15/2020,31.1,24.5,27.7,37.2,0.0,9.8,153.38,26.4,5.9,52.7,80.61,Partially cloudy
160,"Johor Bahru, Johor, Malaysia",09/16/2020,30.3,22.6,27.0,33.5,10.0,15.0,173.17,27.7,5.9,49.9,77.65,"Rain, Partially cloudy"
161,"Johor Bahru, Johor, Malaysia",09/19/2020,33.0,24.1,28.8,37.7,0.0,10.6,199.33,19.7,6.1,52.6,72.95,Partially cloudy
162,"Johor Bahru, Johor, Malaysia",09/26/2020,28.3,23.6,26.2,32.0,3.0,9.4,232.5,19.7,5.6,56.6,84.96,"Rain, Partially cloudy"
