,Name,Date time,Prediction,color_code
343,"Selangor, Malaysia",6/5/2022,24.59753418,#000000
344,"Selangor, Malaysia",7/5/2022,24.17137337,#000000
345,"Selangor, Malaysia",8/5/2022,24.36052322,#000000
346,"Selangor, Malaysia",9/5/2022,24.03093529,#000000
347,"Selangor, Malaysia",10/5/2022,24.36310959,#000000
348,"Selangor, Malaysia",11/5/2022,24.18200111,#000000
349,"Selangor, Malaysia",12/5/2022,23.95539474,#000000
350,"Selangor, Malaysia",13/5/2022,24.36219788,#000000
351,"Selangor, Malaysia",14/5/2022,23.92565346,#000000
352,"Selangor, Malaysia",15/5/2022,24.10514832,#000000
353,"Selangor, Malaysia",16/5/2022,23.76673698,#000000
354,"Selangor, Malaysia",17/5/2022,24.09100342,#000000
355,"Selangor, Malaysia",18/5/2022,23.90299225,#000000
356,"Selangor, Malaysia",19/5/2022,23.67055702,#000000
357,"Selangor, Malaysia",20/5/2022,24.07266617,#000000
358,"Selangor, Malaysia",21/5/2022,23.63261414,#000000
359,"Selangor, Malaysia",22/5/2022,23.80983353,#000000
360,"Selangor, Malaysia",23/5/2022,23.47039986,#000000
361,"Selangor, Malaysia",24/5/2022,23.79491806,#000000
362,"Selangor, Malaysia",25/5/2022,23.60843658,#000000
363,"Selangor, Malaysia",26/5/2022,23.37879372,#000000
364,"Selangor, Malaysia",27/5/2022,23.78494644,#000000
365,"Selangor, Malaysia",28/5/2022,23.35015297,#000000
366,"Selangor, Malaysia",29/5/2022,23.53380013,#000000
367,"Selangor, Malaysia",30/5/2022,23.20191383,#000000
368,"Selangor, Malaysia",31/5/2022,23.53503036,#000000
369,"Selangor, Malaysia",1/6/2022,23.35812187,#000000
370,"Selangor, Malaysia",2/6/2022,23.13895226,#000000
371,"Selangor, Malaysia",3/6/2022,23.5563755,#000000
372,"Selangor, Malaysia",4/6/2022,23.13356018,#000000
373,"Selangor, Malaysia",5/6/2022,23.3297863,#000000
374,"Selangor, Malaysia",6/6/2022,23.01097107,#000000
375,"Selangor, Malaysia",7/6/2022,23.35754013,#000000
